title,url,price,cash_back,points,total,indicator
"Desk Mat Plastic Office Home Table Pad Protector Blotter Mat Writing Desk Topper Protector with Mouse Pad for Laptop Computer Desktop Keyboard Pads Multifunctional Mat Wipeable PVC 10x12""(Pink+Sliver)",https://www.cashbackbase.com/offer/Protector-Computer-Keyboard-Multifunctional-Wipeable/6231,9.99,8.99,180.0,1.0,180.0
Ginger Germinal Oil Hair Growth Serum 2PCS + Bonus Hair Comb | Ginger Hair Growth Serum | Ginger Essential Oil Hair Loss Treatment | Hair Regrowth Serum For Women & Men 30ML,https://www.cashbackbase.com/offer/Ginger-Germinal-Essential-Treatment-Regrowth/10121,9.99,8.99,180.0,1.0,180.0
"Furniture Straps (12 Pack) Furniture Anchors for Baby Safety Proofing, Wall Anchors Anti Tip Kit Easy Installation for Firmly Fixing, Adjustable Earthquake-Resistant Child Safety Straps",https://www.cashbackbase.com/offer/Furniture-Proofing-Installation-Adjustable-Earthquake-Resistant/10408,9.99,8.99,180.0,1.0,180.0
"Mangotek Headphones Adapter for Apple, MFi Certified Lightning to 3.5 mm Headphone Jack Adapter for iPhone 11 11Pro 11Pro Max XR Xs Xs Max X 8 8Plus 7 7Plus Black",https://www.cashbackbase.com/offer/Mangotek-Headphones-Certified-Lightning-Headphone/8502,12.99,12.0,240.0,0.9900000000000002,237.60000000000005
Trycooling 4PCS Cotton Baby Infant Umbilical Cord Belly Band Cartoon Soft Newborn Navel Belt (Random Style),https://www.cashbackbase.com/offer/Trycooling-Cotton-Umbilical-Cartoon-Newborn/9747,11.96,10.76,215.0,1.200000000000001,258.0000000000002
"Vanity Mirror Lights Kit,Golspark Dimmable Hollywood Style Lights for Mirror,10 LED Light Bulbs for Makeup Vanity Table Set in Dressing Room,Lighting Fixture Strip with USB Charging Cable for Bathroom",https://www.cashbackbase.com/offer/Golspark-Dimmable-Hollywood-Dressing-Lighting/10267,16.99,16.14,323.0,0.8499999999999979,274.54999999999933
Zig-Zag - Organic Vegan Hemp Rolling Papers - King Sized - Slim - Green (6 Packs),https://www.cashbackbase.com/offer/Zig-Zag-Organic-Vegan-Rolling-Papers/10447,8.99,7.0,140.0,1.9900000000000002,278.6
"Dishwasher Magnet Clean Dirty Sign , Double Sided Flip Dishwasher Sign - with Magnetic Plate Dishwasher Magnet Easy to Read - Water Resistant Dishwasher Indicator for Kitchen Organization and Storage",https://www.cashbackbase.com/offer/Dishwasher-Magnet-Clean-Dirty-Double/10448,12.98,11.68,234.0,1.3000000000000007,304.20000000000016
14x24 Inch Multi Size Clear Plastic Dining Table Protector PVC Tablelcloth Desk Pad Mat Wooden Furniture Coffee Glass Table Screen Protection Pad Cover Dressing Kitchen Countertop Topper Waterproof,https://www.cashbackbase.com/offer/Protector-Tablelcloth-Protection-Countertop-Waterproof/6142,12.99,11.69,234.0,1.3000000000000007,304.20000000000016
Mango Slicer + Bonus Finger Guard For Cutting | Mango Peeler| Mango Cutter | Mango Pitter | Mango Corer For Sliced Mango | Premium Mango Splitter With Sharp Stainless Steel Blade and Easy Grip Handles,https://www.cashbackbase.com/offer/Cutting-Premium-Splitter-Stainless-Handles/10279,9.99,7.99,160.0,2.0,320.0
"3 Pack Miniseas Environmental Protection Material case Compatible with Apple Watch case 42MM Protective Bumper Cover for iwatch Series 3/2/1(RED Pink Yellow,42MM)",https://www.cashbackbase.com/offer/Miniseas-Environmental-Protection-Compatible-Protective/6454,9.99,7.99,160.0,2.0,320.0
"Tracing Light Box, A4 Light Board Portable LED Light Pad Tracer Dimmable Winshine Copy Board Artcraft Tracing Light with USB Power Cable for Artists Drawing, Sketching, Animation",https://www.cashbackbase.com/offer/Portable-Dimmable-Winshine-Sketching-Animation/9879,13.99,12.72,254.0,1.2699999999999996,322.57999999999987
"E12 LED Bulb 5000K Daylight 8 Pack Ceiling Fan Light Bulbs,Hansang A15 Candelabra LED Bulbs for Chandelier,6W 60W Incandescent Equivalent,600LM,120V,Non-dimmable",https://www.cashbackbase.com/offer/Hansang-E12-LED-Light-Bulb/9983,13.99,12.59,252.0,1.4000000000000004,352.80000000000007
WIN.MAX Soft Tip Dart Points 500 Pack 2BA Plastic Thread Accessories Set Black with 6 Dart Flights/Dart Tool/Storage Bag,https://www.cashbackbase.com/offer/WIN-MAX-Plastic-Accessories-Flights-Storage/10489,13.99,12.59,252.0,1.4000000000000004,352.80000000000007
WIN.MAX Dart Flights 72Pcs Standard and Pear Shape 3mm Extra Thick,https://www.cashbackbase.com/offer/WIN-MAX-Flights-72Pcs-Standard-Shape/10490,13.99,12.59,252.0,1.4000000000000004,352.80000000000007
"Mangotek Lightning Headphones for iPhone 11, MFI Earphones for iPhone Wired Earbuds with Mic Compatible with iPhone 11 Pro/Pro Max iPhone X/XS/XS Max/XR iPhone 8/8 Plus iPhone 7/7 Plus White",https://www.cashbackbase.com/offer/Mangotek-Lightning-Headphones-Earphones-Compatible/8503,18.99,18.0,360.0,0.9899999999999984,356.3999999999994
"Homuguz 400GSM Microfiber Cleaning Cloth 12""x12"" Pack of 6, Highly Absorbent Rags for Kitchen Window Glass",https://www.cashbackbase.com/offer/Homuguz-400gsm-Microfiber-Cleaning-Kitchen/10436,10.99,9.0,180.0,1.9900000000000002,358.20000000000005
"LED Garage Light,Deformable Triple Light - 60W 6000LM LED Ceiling Garage Lamp with 3 adjustable Aluminum Panels,Honesorn Bay Lighting for Garage, Warehouse,Shop, E26 Base, CRI>80 (No Motion Activated)",https://www.cashbackbase.com/offer/LED-Garage-Light-Deformable-Triple/9904,18.99,17.99,360.0,1.0,360.0
